frame,track_id,timestamp,center_x,center_y,x1,y1,x2,y2,x3,y3,x4,y4,class_id,tl_state
0,0,0.1,3805.8587461306315,1121.708304591586,3830.4382621873633,1133.0841513915773,3830.7734833810123,1111.086705477305,3781.2792300738997,1110.3324577915948,3780.9440088802507,1132.329903705867,1,
0,1,0.1,28.934296201899315,1168.2944200832471,4.334163237168024,1156.963226054481,4.038887822737646,1178.9612444295446,53.5344291666306,1179.6256141120132,53.82970458106098,1157.6275957369496,1,
0,-1,0.1,1813.0,1228.0,1810.25,1225.25,1810.25,1230.75,1815.75,1230.75,1815.75,1225.25,2,green
0,-2,0.1,1813.0,1199.0,1810.25,1196.25,1810.25,1201.75,1815.75,1201.75,1815.75,1196.25,2,green
0,-3,0.1,1813.0,1157.0,1810.25,1154.25,1810.25,1159.75,1815.75,1159.75,1815.75,1154.25,2,red
0,-4,0.1,2128.0,1124.0,2125.25,1121.25,2125.25,1126.75,2130.75,1126.75,2130.75,1121.25,2,green
0,-5,0.1,2128.0,1132.0,2125.25,1129.25,2125.25,1134.75,2130.75,1134.75,2130.75,1129.25,2,green
0,-6,0.1,2128.0,1095.0,2125.25,1092.25,2125.25,1097.75,2130.75,1097.75,2130.75,1092.25,2,green
0,-7,0.1,2228.0,1033.0,2225.25,1030.25,2225.25,1035.75,2230.75,1035.75,2230.75,1030.25,2,green
0,-8,0.1,1900.0,933.0,1897.25,930.25,1897.25,935.75,1902.75,935.75,1902.75,930.25,2,green
0,-9,0.1,1970.0,950.0,1967.25,947.25,1967.25,952.75,1972.75,952.75,1972.75,947.25,2,red
0,-10,0.1,2012.0,954.0,2009.25,951.25,2009.25,956.75,2014.75,956.75,2014.75,951.25,2,red
1,0,0.2,3786.717492261263,1121.416609183172,3811.297008317995,1132.792455983163,3811.632229511644,1110.795010068891,3762.1379762045312,1110.0407623831811,3761.8027550108823,1132.0382082974531,1,
1,1,0.2,50.86859240379863,1168.5888401664938,26.26845943906734,1157.2576461377278,25.97318402463696,1179.2556645127913,75.46872536852992,1179.9200341952599,75.7640007829603,1157.9220158201963,1,
1,-1,0.2,1813.0,1228.0,1810.25,1225.25,1810.25,1230.75,1815.75,1230.75,1815.75,1225.25,2,green
1,-2,0.2,1813.0,1199.0,1810.25,1196.25,1810.25,1201.75,1815.75,1201.75,1815.75,1196.25,2,green
1,-3,0.2,1813.0,1157.0,1810.25,1154.25,1810.25,1159.75,1815.75,1159.75,1815.75,1154.25,2,red
1,-4,0.2,2128.0,1124.0,2125.25,1121.25,2125.25,1126.75,2130.75,1126.75,2130.75,1121.25,2,green
1,-5,0.2,2128.0,1132.0,2125.25,1129.25,2125.25,1134.75,2130.75,1134.75,2130.75,1129.25,2,green
1,-6,0.2,2128.0,1095.0,2125.25,1092.25,2125.25,1097.75,2130.75,1097.75,2130.75,1092.25,2,green
1,-7,0.2,2228.0,1033.0,2225.25,1030.25,2225.25,1035.75,2230.75,1035.75,2230.75,1030.25,2,green
1,-8,0.2,1900.0,933.0,1897.25,930.25,1897.25,935.75,1902.75,935.75,1902.75,930.25,2,green
1,-9,0.2,1970.0,950.0,1967.25,947.25,1967.25,952.75,1972.75,952.75,1972.75,947.25,2,red
1,-10,0.2,2012.0,954.0,2009.25,951.25,2009.25,956.75,2014.75,956.75,2014.75,951.25,2,red
2,0,0.30000000000000004,3767.576238391894,1121.1249137747582,3792.155754448626,1132.5007605747494,3792.490975642275,1110.5033146604771,3742.9967223351623,1109.749066974767,3742.6615011415133,1131.7465128890392,1,
2,1,0.30000000000000004,72.80288860569794,1168.883260249741,48.20275564096666,1157.552066220975,47.90748022653628,1179.5500845960385,97.40302157042923,1180.214454278507,97.69829698485961,1158.2164359034434,1,
2,-1,0.30000000000000004,1813.0,1228.0,1810.25,1225.25,1810.25,1230.75,1815.75,1230.75,1815.75,1225.25,2,green
2,-2,0.30000000000000004,1813.0,1199.0,1810.25,1196.25,1810.25,1201.75,1815.75,1201.75,1815.75,1196.25,2,green
2,-3,0.30000000000000004,1813.0,1157.0,1810.25,1154.25,1810.25,1159.75,1815.75,1159.75,1815.75,1154.25,2,red
2,-4,0.30000000000000004,2128.0,1124.0,2125.25,1121.25,2125.25,1126.75,2130.75,1126.75,2130.75,1121.25,2,green
2,-5,0.30000000000000004,2128.0,1132.0,2125.25,1129.25,2125.25,1134.75,2130.75,1134.75,2130.75,1129.25,2,green
