frame,track_id,timestamp,center_x,center_y,x1,y1,x2,y2,x3,y3,x4,y4,class_id
0,1,0.1,3.829662754529636,1150.0524611336236,0.0,1136.4852408844051,0.0,1164.4826141195417,35.518470474435944,1163.6196813828421,35.13494481368065,1135.6223081477056,1
0,2,0.1,3827.7371196900385,1075.9291061119818,3840.0,1089.4033817524455,3840.0,1061.4072529851046,3796.0086798297993,1062.454830471518,3796.474269823761,1090.450959238859,1
1,1,0.2,7.798793545943681,1150.1068327883006,0.0,1136.539612539082,0.0,1164.5369857742187,39.48760126584999,1163.6740530375191,39.10407560509469,1135.6766798023825,1
1,2,0.2,3823.2960849206966,1075.8552494238438,3840.0,1089.3295250643075,3840.0,1061.3333962969666,3791.5676450604574,1062.38097378338,3792.033235054419,1090.377102550721,1
2,1,0.30000000000000004,11.907392374241226,1150.1631149640307,0.0,1136.5958947148122,0.0,1164.5932679499488,43.596200094147534,1163.7303352132492,43.21267443339224,1135.7329619781126,1
2,2,0.30000000000000004,3818.6768956919755,1075.778429935586,3840.0,1089.2527055760497,3840.0,1061.2565768087088,3786.9484558317363,1062.3041542951223,3787.414045825698,1090.3002830624632,1
3,1,0.4,16.155459239423408,1150.221307660814,0.0,1136.6540874115956,0.0,1164.6514606467322,47.844266959329715,1163.7885279100326,47.46074129857442,1135.791154674896,1
3,2,0.4,3813.879552003875,1075.6986476472084,3840.0,1089.1729232876721,3840.0,1061.1767945203312,3782.1511121436356,1062.2243720067447,3782.6167021375973,1090.2205007740856,1
4,1,0.5,20.542994141489316,1150.2814108786506,0.0,1136.714190629432,0.0,1164.7115638645687,52.231801861395624,1163.848631127869,51.84827620064033,1135.8512578927325,1
4,2,0.5,3808.9040538563936,1075.6159025587108,3840.0,1089.0901781991745,3840.0,1061.0940494318336,3777.1756139961544,1062.141626918247,3777.641203990116,1090.137755685588,1
5,1,0.6,25.069997080439407,1150.3434246175402,0.0,1136.7762043683217,0.0,1164.7735776034583,56.758804800345715,1163.9106448667587,56.37527913959042,1135.9132716316221,1
5,2,0.6,3803.7504012495333,1075.5301946700934,3835.4788411097725,1089.004470310557,3835.013251115811,1061.0083415432161,3772.021961389294,1062.0559190296296,3772.487551383256,1090.0520477969706,1
6,1,0.7,29.736468056273907,1150.4073488774834,0.0,1136.840128628265,0.0,1164.8375018634015,61.425275776180214,1163.974569126702,61.04175011542492,1135.9771958915653,1
