frame,track_id,timestamp,center_x,center_y,x1,y1,x2,y2,x3,y3,x4,y4,class_id
0,1,0.1,2006.1365676581624,0.6145544617306768,1985.6366393942994,28.327420448063968,2012.96987707945,34.401473266986386,2026.6364959220255,0.0,1999.3032582368749,0.0,1
0,2,0.1,10.16847195128139,1043.3369439025628,0.0,1065.2504100820609,8.603224367031808,1077.7723907560596,36.77768088352872,1021.4234777230646,11.733719535530971,1008.901497049066,1
0,3,0.1,4.066886843100747,1145.8858086470432,0.0,1145.426236132034,0.0,1171.1622969725397,38.53482546877792,1146.3453811620523,27.505085108561225,1120.6093203215466,1
0,4,0.1,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
0,5,0.1,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
1,1,0.2,2006.2347796688448,1.056508509801347,1985.7348514049818,28.76937449613464,2013.0680890901324,34.843427315057056,2026.7347079327078,0.0,1999.4014702475572,0.0,1
1,2,0.2,10.344493433311527,1043.6889868666233,0.0,1065.6024530461214,8.779245849061946,1078.1244337201201,36.953702365558854,1021.7755206871251,11.909741017561108,1009.2535400131266,1
1,3,0.2,4.3440978618768895,1146.0046133693759,0.0,1145.5450408543668,0.0,1171.2811016948724,38.81203648755406,1146.464185884385,27.782296127337368,1120.7281250438793,1
1,4,0.2,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
1,5,0.2,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
2,1,0.30000000000000004,2006.3329916795271,1.4984625578721307,1985.8330634156641,29.211328544205422,2013.1663011008147,35.28538136312784,2026.8329199433902,0.0,1999.4996822582395,0.0,1
2,2,0.30000000000000004,10.520514915341664,1044.0410298306838,0.0,1065.9544960101819,8.955267331092083,1078.4764766841806,37.12972384758899,1022.1275636511856,12.085762499591246,1009.605582977187,1
2,3,0.30000000000000004,4.601973191498928,1146.1151313677851,0.0,1145.655558852776,0.0,1171.3916196932817,39.0699118171761,1146.5747038827942,28.040171456959406,1120.8386430422886,1
2,4,0.30000000000000004,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
2,5,0.30000000000000004,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
3,1,0.4,2006.4312036902095,1.9404166059429144,1985.9312754263465,29.653282592276206,2013.264513111497,35.727335411198624,2026.9311319540725,0.0,1999.597894268922,0.0,1
3,2,0.4,10.696536397371801,1044.393072794744,0.0,1066.3065389742421,9.13128881312222,1078.828519648241,37.30574532961913,1022.4796066152459,12.261783981621383,1009.9576259412473,1
3,3,0.4,4.859848521120966,1146.2256493661946,0.0,1145.7660768511855,0.0,1171.5021376916911,39.32778714679814,1146.6852218812037,28.298046786581445,1120.949161040698,1
3,4,0.4,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
3,5,0.4,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
4,1,0.5,2006.529415700892,2.382370654013812,1986.029487437029,30.095236640347103,2013.3627251221797,36.16928945926952,2027.029343964755,0.0,1999.6961062796045,0.0,1
4,2,0.5,10.872557879402393,1044.7451157588046,0.0,1066.6585819383026,9.307310295152812,1079.1805626123014,37.48176681164972,1022.8316495793064,12.437805463651975,1010.3096689053078,1
4,3,0.5,5.11772385074255,1146.336167364604,0.0,1145.876594849595,0.0,1171.6126556901006,39.58566247641972,1146.7957398796132,28.55592211620303,1121.0596790391076,1
4,4,0.5,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
4,5,0.5,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
5,1,0.6,2006.6276277115744,2.8243247020845956,1986.1276994477114,30.537190688417887,2013.460937132862,36.611243507340305,2027.1275559754374,0.0,1999.7943182902868,0.0,1
5,2,0.6,9.048579361432076,1041.097158722865,0.0,1063.0106249023631,7.483331777182494,1075.532605576362,35.6577882936794,1019.1836925433669,10.613826945681657,1006.6617118693683,1
5,3,0.6,5.375599180364588,1146.4466853630133,0.0,1145.9871128480042,0.0,1171.7231736885099,39.84353780604176,1146.9062578780224,28.813797445825067,1121.1701970375168,1
5,4,0.6,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
5,5,0.6,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
6,1,0.7,2006.7258397222568,3.2662787501553794,1986.2259114583937,30.97914473648867,2013.5591491435443,37.05319755541109,2027.2257679861198,0.0,1999.8925303009692,0.0,1
6,2,0.7,9.224600843462667,1041.4492016869253,0.0,1063.3626678664234,7.659353259213086,1075.8846485404222,35.833809775709994,1019.5357355074271,10.789848427712249,1007.0137548334286,1
6,3,0.7,5.633474509986172,1146.5572033614226,0.0,1146.0976308464135,0.0,1171.833691686919,40.10141313566334,1147.0167758764317,29.07167277544665,1121.280715035926,1
6,4,0.7,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
6,5,0.7,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
7,1,0.7999999999999999,2006.824051732939,3.7082327982260495,1986.324123469076,31.42109878455934,2013.6573611542267,37.49515160348176,2027.323979996802,0.0,1999.9907423116515,0.0,1
7,2,0.7999999999999999,9.400622325492805,1041.8012446509858,0.0,1063.714710830484,7.835374741243223,1076.2366915044827,36.00983125774013,1019.8877784714876,10.965869909742386,1007.3657977974891,1
7,3,0.7999999999999999,5.8913498396082105,1146.667721359832,0.0,1146.208148844823,0.0,1171.9442096853286,40.35928846528538,1147.1272938748411,29.32954810506869,1121.3912330343355,1
7,4,0.7999999999999999,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
7,5,0.7999999999999999,9.0,1148.0,0.0,1147.540427484991,0.0,1173.2764883254965,43.46793862567717,1148.459572515009,32.43819826546048,1122.7235116745035,1
